Title,PDF,Published
Predictive modelling of football injuries,http://arxiv.org/pdf/1609.07480v1,2016-09-20
Google Research Football: A Novel Reinforcement Learning Environment,http://arxiv.org/pdf/1907.11180v2,2019-07-25
Combining historical data and bookmakers'odds in modelling football scores,http://arxiv.org/pdf/1802.08848v1,2018-02-24
Football is becoming more predictable; Network analysis of 88 thousands matches in 11 major leagues,http://arxiv.org/pdf/1908.08991v2,2019-08-23
"Boosting Studies of Multi-Agent Reinforcement Learning on Google Research Football Environment: the Past, Present, and Future",http://arxiv.org/pdf/2309.12951v1,2023-09-22
A Reinforcement Learning Based Approach to Play Calling in Football,http://arxiv.org/pdf/2103.06939v1,2021-03-11
Predictive modelling of training loads and injury in Australian football,http://arxiv.org/pdf/1706.04336v1,2017-06-14
Adaptive action supervision in reinforcement learning from real-world multi-agent demonstrations,http://arxiv.org/pdf/2305.13030v2,2023-05-22
"A Strategic Framework for Optimal Decisions in Football 1-vs-1 Shot-Taking Situations: An Integrated Approach of Machine Learning, Theory-Based Modeling, and Game Theory",http://arxiv.org/pdf/2307.14732v1,2023-07-27
Diversity is Strength: Mastering Football Full Game with Interactive Reinforcement Learning of Multiple AIs,http://arxiv.org/pdf/2306.15903v1,2023-06-28
Neighborhood Cognition Consistent Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/1912.01160v2,2019-12-03
Agent-Centric Representations for Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2104.09402v1,2021-04-19
Celebrating Diversity in Shared Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2106.02195v2,2021-06-04
MimicBot: Combining Imitation and Reinforcement Learning to win in Bot Bowl,http://arxiv.org/pdf/2108.09478v1,2021-08-21
Containerized Distributed Value-Based Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2110.08169v2,2021-10-15
GCS: Graph-based Coordination Strategy for Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2201.06257v1,2022-01-17
PTDE: Personalized Training with Distillated Execution for Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2210.08872v1,2022-10-17
Group Distributionally Robust Reinforcement Learning with Hierarchical Latent Variables,http://arxiv.org/pdf/2210.12262v1,2022-10-21
Teacher-student curriculum learning for reinforcement learning,http://arxiv.org/pdf/2210.17368v1,2022-10-31
Hierarchical Strategies for Cooperative Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2212.07397v1,2022-12-14
Action valuation of on- and off-ball soccer players based on multi-agent deep reinforcement learning,http://arxiv.org/pdf/2305.17886v1,2023-05-29
Learning to Collaborate by Grouping: a Consensus-oriented Strategy for Multi-agent Reinforcement Learning,http://arxiv.org/pdf/2307.15530v1,2023-07-28
Never Explore Repeatedly in Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2308.09909v1,2023-08-19
FoX: Formation-aware exploration in multi-agent reinforcement learning,http://arxiv.org/pdf/2308.11272v1,2023-08-22
Promoting Coordination through Policy Regularization in Multi-Agent Deep Reinforcement Learning,http://arxiv.org/pdf/1908.02269v4,2019-08-06
Scenic4RL: Programmatic Modeling and Generation of Reinforcement Learning Environments,http://arxiv.org/pdf/2106.10365v2,2021-06-18
LDSA: Learning Dynamic Subtask Assignment in Cooperative Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2205.02561v3,2022-05-05
Revisiting Some Common Practices in Cooperative Multi-Agent Reinforcement Learning,http://arxiv.org/pdf/2206.07505v2,2022-06-15
Lamarckian Platform: Pushing the Boundaries of Evolutionary Reinforcement Learning towards Asynchronous Commercial Games,http://arxiv.org/pdf/2209.10055v1,2022-09-21
Multi-Agent Reinforcement Learning is a Sequence Modeling Problem,http://arxiv.org/pdf/2205.14953v3,2022-05-30
