Title,PDF,Published
The classification of football patterns,http://arxiv.org/pdf/math/0606193v1,2006-06-08
Regularities in football goal distributions,http://arxiv.org/pdf/cond-mat/0002100v1,2000-02-07
Rating evaluation of sports development efficiency using statistical analysis: evidence from Russian football,http://arxiv.org/pdf/1612.07543v1,2016-12-22
Football fever: goal distributions and non-Gaussian statistics,http://arxiv.org/pdf/physics/0606016v1,2006-06-01
Which Football Player Bears Most Resemblance to Messi? A Statistical Analysis,http://arxiv.org/pdf/1802.00967v1,2018-02-03
Explainable expected goal models for performance analysis in football analytics,http://arxiv.org/pdf/2206.07212v2,2022-06-14
A Machine Learning Approach for Player and Position Adjusted Expected Goals in Football (Soccer),http://arxiv.org/pdf/2301.13052v2,2023-01-19
Clustering algorithm for formations in football games,http://arxiv.org/pdf/1805.07525v2,2018-05-19
A copula-based multivariate hidden Markov model for modelling momentum in football,http://arxiv.org/pdf/2002.01193v2,2020-02-04
Statistical analysis of player and team ball possession time in football,http://arxiv.org/pdf/2308.05460v1,2023-08-10
Betting the system: Using lineups to predict football scores,http://arxiv.org/pdf/2210.06327v3,2022-10-12
Partially Constrained Group Variable Selection to Adjust for Complementary Unit Performance in American College Football,http://arxiv.org/pdf/2210.12519v1,2022-10-22
Self-affirmation model for football goal distributions,http://arxiv.org/pdf/0705.2724v1,2007-05-18
Optimal selection of the starting lineup for a football team,http://arxiv.org/pdf/2303.12385v2,2023-03-22
Who's good this year? Comparing the Information Content of Games in the Four Major US Sports,http://arxiv.org/pdf/1501.07179v1,2015-01-28
"""Does 4-4-2 exist?"" -- An Analytics Approach to Understand and Classify Football Team Formations in Single Match Situations",http://arxiv.org/pdf/1910.00412v1,2019-09-02
Validation and Comparison of Instrumented Mouthguards for Measuring Head Kinematics and Assessing Brain Deformation in Football Impacts,http://arxiv.org/pdf/2008.01903v2,2020-08-05
Embedding Contextual Information through Reward Shaping in Multi-Agent Learning: A Case Study from Google Football,http://arxiv.org/pdf/2303.15471v3,2023-03-25
"A Strategic Framework for Optimal Decisions in Football 1-vs-1 Shot-Taking Situations: An Integrated Approach of Machine Learning, Theory-Based Modeling, and Game Theory",http://arxiv.org/pdf/2307.14732v1,2023-07-27
Football goal distributions and extremal statistics,http://arxiv.org/pdf/cond-mat/0110605v2,2001-10-29
Conformally Invariant Braneworld and the Cosmological Constant,http://arxiv.org/pdf/gr-qc/0303048v2,2003-03-12
Variations on a theme of Grothendieck,http://arxiv.org/pdf/1210.8161v2,2012-10-30
Win-stay lose-shift strategy in formation changes in football,http://arxiv.org/pdf/1503.02484v2,2015-03-09
Passing Heatmap Prediction Based on Transformer Model and Tracking Data,http://arxiv.org/pdf/2309.01526v1,2023-09-04
Multivariate Generalized Linear Mixed Models for Joint Estimation of Sporting Outcomes,http://arxiv.org/pdf/1710.05284v1,2017-10-15
Toward more accurate and generalizable brain deformation estimators for traumatic brain injury detection with unsupervised domain adaptation,http://arxiv.org/pdf/2306.05255v1,2023-06-08
Simultaneous Variable and Covariance Selection with the Multivariate Spike-and-Slab Lasso,http://arxiv.org/pdf/1708.08911v2,2017-08-29
Group Distributionally Robust Reinforcement Learning with Hierarchical Latent Variables,http://arxiv.org/pdf/2210.12262v1,2022-10-21
VARS: Video Assistant Referee System for Automated Soccer Decision Making from Multiple Views,http://arxiv.org/pdf/2304.04617v1,2023-04-10
FoX: Formation-aware exploration in multi-agent reinforcement learning,http://arxiv.org/pdf/2308.11272v1,2023-08-22
Method and Validation for Optimal Lineup Creation for Daily Fantasy Football Using Machine Learning and Linear Programming,http://arxiv.org/pdf/2309.15253v2,2023-09-26
Instant Replay: Investigating statistical Analysis in Sports,http://arxiv.org/pdf/1102.5549v4,2011-02-27
Multi-Level Anomaly Detection on Time-Varying Graph Data,http://arxiv.org/pdf/1410.4355v4,2014-10-16
Monte Carlo Neural Fictitious Self-Play: Approach to Approximate Nash equilibrium of Imperfect-Information Games,http://arxiv.org/pdf/1903.09569v2,2019-03-22
"The Soccer Game, bit by bit: An information-theoretic analysis",http://arxiv.org/pdf/2102.11182v4,2021-02-22
Multivariate Conway-Maxwell-Poisson Distribution: Sarmanov Method and Doubly-Intractable Bayesian Inference,http://arxiv.org/pdf/2107.07561v1,2021-07-15
Optimizing the expected maximum of two linear functions defined on a multivariate Gaussian distribution,http://arxiv.org/pdf/2112.07002v1,2021-12-13
Identification of pattern mining algorithm for rugby league players positional groups separation based on movement patterns,http://arxiv.org/pdf/2302.14058v1,2023-02-25
Deep Learning Head Model for Real-time Estimation of Entire Brain Deformation in Concussion,http://arxiv.org/pdf/2010.08527v2,2020-10-16
